,Source,Destination,num_packets,avg_packet_length,max_packet_length,min_packet_length,time_gaps,max_time_gaps,min_time_gaps,cluster
230,118,77,42,238.262,1406,60,1.499,29.216,0.0,0
231,118,78,57,1221.754,1406,66,0.007,0.058,0.0,0
232,118,79,4,60.0,60,60,15.204,44.495,0.558,0
233,118,80,16,353.875,1406,60,0.018,0.051,0.0,0
234,118,81,27,166.963,583,60,0.881,13.056,0.0,0
235,118,83,8,107.25,123,60,6.74,14.98,0.094,0
236,118,85,6,322.667,1406,60,2.163,10.36,0.0,0
237,118,88,18,524.611,1406,60,0.019,0.061,0.0,0
238,118,90,4,145.0,230,60,13.464,40.139,0.117,0
239,118,91,258,1220.806,1406,60,0.006,0.18,0.0,0
240,118,92,3,521.0,1270,60,20.102,40.058,0.145,0
241,118,93,1,60.0,60,60,-1.0,-1.0,-1.0,0
242,118,94,15,211.2,1265,60,3.563,40.093,0.0,0
243,118,95,3,162.333,315,60,9.946,19.787,0.106,0
244,118,96,2,230.0,230,230,40.055,40.055,40.055,1
245,118,98,8,86.0,112,60,8.112,23.351,0.09,0
246,118,99,34,201.324,1264,60,0.191,1.898,0.0,0
247,118,100,9,346.222,1406,60,6.712,44.962,0.0,0
248,118,101,2,85.5,111,60,0.094,0.094,0.094,0
249,118,102,10,197.0,768,60,0.035,0.07,0.0,0
250,118,104,9,60.0,60,60,5.631,44.949,0.0,0
251,118,105,2,66.0,66,66,0.002,0.002,0.002,0
252,118,107,11,462.0,1406,60,4.019,18.089,0.0,0
253,118,108,4,60.0,60,60,18.084,18.09,18.074,0
254,118,109,2,60.0,60,60,0.02,0.02,0.02,0
255,118,110,8,64.5,66,60,7.745,18.095,0.039,0
256,118,111,13,406.385,1406,66,5.158,18.064,0.0,0
257,118,112,8,60.0,60,60,7.751,18.125,0.0,0
258,118,113,1,60.0,60,60,-1.0,-1.0,-1.0,0
259,118,114,1149,275.422,1514,60,0.06,1.217,0.0,0
260,118,115,5,163.4,571,60,0.019,0.04,0.0,0
261,118,116,2,60.0,60,60,0.019,0.019,0.019,0
262,118,117,6,93.667,114,77,8.754,33.712,0.0,0
263,118,118,39,86.821,140,74,1.765,8.103,0.0,0
264,118,119,10,110.4,186,60,6.777,10.871,0.833,0
265,118,120,10,97.8,186,60,6.683,10.021,3.254,0
266,118,121,7,65.143,66,60,9.045,10.241,3.254,0
267,118,122,1275,87.755,1066,60,0.055,0.369,0.0,0
268,119,37,10,97.8,186,60,6.68,10.021,0.0,0
269,120,37,11,501.545,1406,60,0.028,0.111,0.0,0
270,121,37,11,783.727,1406,60,0.071,0.338,0.0,0
271,122,37,2,63.0,66,60,35.05,35.05,35.05,1
272,123,37,9,596.667,1406,60,0.055,0.124,0.0,0
273,124,37,1,60.0,60,60,-1.0,-1.0,-1.0,0
274,125,37,3,81.0,123,60,22.475,30.033,14.918,1
275,126,37,2,228.0,228,228,0.388,0.388,0.388,0
276,127,37,1,228.0,228,228,-1.0,-1.0,-1.0,0
277,128,37,1,60.0,60,60,-1.0,-1.0,-1.0,0
278,129,25,16,451.5,1514,60,3.166,45.029,0.0,0
279,130,37,1,60.0,60,60,-1.0,-1.0,-1.0,0
280,131,37,10,97.8,186,60,6.68,10.021,0.0,0
281,132,37,17,79.647,110,60,4.083,5.029,1.374,0
282,133,37,18,78.556,110,60,3.949,5.013,0.0,0
283,134,37,21,102.0,186,60,3.061,8.92,0.0,0
284,135,37,2,93.5,127,60,0.025,0.025,0.025,0
285,136,37,2,93.5,127,60,0.027,0.027,0.027,0
286,137,25,3,147.667,317,60,0.02,0.038,0.001,0
287,138,37,13,481.692,1354,60,0.018,0.055,0.0,0
288,139,37,2,116.0,116,116,32.02,32.02,32.02,1
289,140,37,1,87.0,87,87,-1.0,-1.0,-1.0,0
290,141,37,12,516.667,1354,60,0.018,0.053,0.0,0
291,142,37,3,80.0,87,66,0.157,0.281,0.032,0
292,143,37,36,550.111,1514,60,1.756,29.255,0.0,0
293,144,37,34,179.706,1406,66,0.01,0.072,0.0,0
294,145,37,3,847.0,847,847,28.928,30.207,27.648,1
295,146,37,4,66.0,66,66,15.203,44.494,0.557,0
296,147,37,13,559.846,1406,60,0.016,0.052,0.0,0
297,148,37,1,60.0,60,60,-1.0,-1.0,-1.0,0
298,149,37,24,552.583,1406,60,0.993,13.136,0.0,0
299,150,25,15,426.267,1514,60,4.286,30.09,0.0,0
300,151,37,6,81.0,123,60,9.436,14.935,2.135,0
