Time,MarkersValid,TrolleyPos,Hoistpos,NoOfMarkers,m1,m2,m3,m4,m5,m6
,True,28.283,4.747,5,"(63234,63480)","(68790,63535)","(66096,63705)","(36777,107191)","(92152,129910)","(122448,112480)"
,True,28.286,4.75,8,"(63239,63449)","(68799,63506)","(66102,63671)","(107693,111967)","(122534,114556)","(80797,120039)"
,True,28.286,4.752,8,"(63234,63452)","(68793,63508)","(66097,63674)","(121192,92810)","(54131,104045)","(123854,105196)"
,True,28.284,4.755,6,"(63238,63451)","(68797,63507)","(66103,63670)","(126032,93926)","(120248,114460)","(115733,124307)"
,True,28.286,4.757,5,"(63237,63425)","(68797,63480)","(66101,63645)","(123500,118909)","(32440,118992)","(99703,113468)"
,True,28.285,4.76,7,"(63235,63438)","(68794,63493)","(66096,63657)","(60174,95131)","(123727,110830)","(116891,115102)"
,True,28.285,4.762,6,"(63230,63430)","(68791,63482)","(66091,63651)","(77087,99056)","(95187,101649)","(120992,118023)"
,False,28.286,4.765,7,"(63219,63410)","(68779,63464)","(66082,63629)","(80602,98302)","(114147,117660)","(120422,117902)"
,False,28.286,4.765,7,"(63219,63410)","(68779,63464)","(66082,63629)","(80602,98302)","(114147,117660)","(120422,117902)"
,False,28.283,4.767,8,"(63225,63421)","(68786,63475)","(66087,63645)","(128595,100936)","(34119,104872)","(105241,114384)"
,True,28.285,4.77,7,"(63224,63394)","(68784,63450)","(66085,63615)","(115182,102434)","(92134,110631)","(115880,119409)"
,True,28.285,4.77,7,"(63224,63394)","(68784,63450)","(66085,63615)","(115182,102434)","(92134,110631)","(115880,119409)"
,True,28.286,4.772,11,"(63235,63394)","(68795,63447)","(66097,63612)","(105294,102197)","(74735,108755)","(40939,109547)"
,True,28.285,4.774,8,"(63236,63408)","(68797,63463)","(66099,63634)","(91003,101849)","(119842,112572)","(111840,118023)"
,False,28.285,4.777,6,"(63236,63383)","(68797,63436)","(66100,63603)","(17174,106201)","(115978,117237)","(103098,117076)"
,False,28.285,4.779,7,"(63249,63377)","(68809,63432)","(66110,63596)","(84057,92023)","(128865,104093)","(72450,106560)"
,False,28.285,4.779,7,"(63249,63377)","(68809,63432)","(66110,63596)","(84057,92023)","(128865,104093)","(72450,106560)"
,True,28.285,4.782,7,"(63244,63356)","(68806,63409)","(66108,63575)","(121767,95769)","(55170,98791)","(117765,111898)"
,True,28.285,4.784,5,"(63249,63320)","(68808,63373)","(66111,63532)","(111284,108783)","(90448,119877)","(93480,108848)"
,True,28.285,4.784,5,"(63249,63320)","(68808,63373)","(66111,63532)","(111284,108783)","(90448,119877)","(93480,108848)"
,True,28.285,4.786,12,"(63242,63319)","(68803,63371)","(66105,63529)","(128166,96262)","(110959,98244)","(118719,103550)"
,True,28.285,4.789,9,"(63246,63310)","(68804,63359)","(66108,63520)","(110920,120753)","(84309,121883)","(85541,125649)"
,True,28.285,4.792,7,"(63262,63297)","(68822,63346)","(66127,63511)","(85240,92872)","(98322,98118)","(119637,110367)"
,False,28.285,4.794,5,"(63266,63298)","(68825,63348)","(66130,63513)","(78639,103359)","(123097,117039)","(56818,109123)"
,False,28.285,4.794,5,"(63266,63298)","(68825,63348)","(66130,63513)","(78639,103359)","(123097,117039)","(56818,109123)"
,False,28.285,4.797,7,"(63278,63281)","(68837,63335)","(66142,63497)","(101468,99543)","(92957,103276)","(64125,118377)"
,True,28.285,4.799,7,"(63274,63281)","(68833,63333)","(66139,63499)","(89108,108588)","(97960,116068)","(116203,119441)"
,True,28.285,4.799,7,"(63274,63281)","(68833,63333)","(66139,63499)","(89108,108588)","(97960,116068)","(116203,119441)"
,True,28.285,4.801,5,"(63274,63307)","(68831,63356)","(66137,63522)","(115866,97828)","(99451,120868)","(55763,114767)"
,True,28.285,4.804,8,"(63286,63308)","(68845,63357)","(66151,63523)","(60100,111966)","(115147,120216)","(113440,122835)"
,True,28.285,4.806,4,"(63281,63326)","(68840,63381)","(66146,63544)","(110086,104525)","(106970,122338)","(111419,102538)"
,True,28.284,4.808,7,"(63290,63338)","(68849,63389)","(66155,63554)","(84302,112803)","(125904,119308)","(56263,128348)"
,True,28.285,4.811,6,"(63288,63324)","(68849,63379)","(66153,63539)","(112063,99699)","(88308,107591)","(85811,130161)"
,True,28.285,4.813,4,"(63291,63333)","(68851,63386)","(66155,63546)","(84843,128507)","(114121,106789)","(126439,110342)"
,True,28.284,4.816,11,"(63302,63332)","(68864,63385)","(66167,63545)","(113921,98624)","(121275,99807)","(41297,122198)"
,True,28.285,4.818,7,"(63303,63346)","(68864,63399)","(66167,63561)","(109284,101017)","(105692,107003)","(128340,122550)"
,True,28.285,4.821,11,"(63309,63375)","(68869,63429)","(66172,63591)","(128485,99739)","(129137,109212)","(104553,111812)"
,True,28.285,4.823,6,"(63314,63383)","(68872,63437)","(66178,63600)","(106121,105549)","(122200,106269)","(116985,112416)"
,True,28.285,4.826,7,"(63322,63387)","(68881,63443)","(66188,63605)","(109510,95369)","(114475,97302)","(63965,98578)"
,True,28.285,4.828,5,"(63337,63385)","(68896,63439)","(66203,63602)","(103150,106732)","(125359,119717)","(98319,116542)"
,True,28.285,4.831,4,"(63340,63365)","(68899,63416)","(66205,63581)","(71859,119494)","(114499,100541)","(91685,104100)"
,True,28.285,4.833,6,"(63345,63364)","(68906,63418)","(66211,63580)","(58435,94515)","(76242,119325)","(109628,121339)"
,True,28.284,4.835,6,"(63335,63377)","(68896,63432)","(66201,63590)","(127235,113839)","(97651,117568)","(61247,124624)"
,True,28.285,4.838,9,"(63336,63380)","(68897,63435)","(66203,63595)","(61506,100768)","(111150,102039)","(82309,102511)"
,False,28.285,4.84,7,"(63346,63390)","(68906,63448)","(66212,63608)","(39179,102032)","(86562,105772)","(98189,118073)"
,True,28.285,4.843,6,"(63343,63388)","(68903,63444)","(66210,63604)","(110540,99496)","(124804,101176)","(111588,118630)"
,True,28.285,4.844,5,"(63351,63377)","(68912,63433)","(66217,63590)","(114424,95629)","(106888,100124)","(109912,124403)"
,True,28.284,4.845,8,"(63350,63377)","(68910,63433)","(66214,63590)","(82018,110257)","(111626,111329)","(91977,114186)"
,True,28.285,4.845,6,"(63352,63374)","(68912,63429)","(66217,63587)","(117505,94769)","(120735,104338)","(110207,130460)"
,True,28.285,4.847,3,"(63360,63376)","(68920,63432)","(66228,63591)","(125519,97320)","(81818,98828)","(102164,99495)"
,False,28.285,4.849,10,"(63363,63383)","(68922,63440)","(66230,63596)","(119371,101873)","(113019,105152)","(41501,109465)"
,True,28.285,4.851,5,"(63368,63367)","(68927,63422)","(66235,63582)","(123277,101673)","(125971,128136)","(104011,115465)"
,True,28.285,4.853,5,"(63366,63357)","(68925,63410)","(66233,63570)","(81567,98568)","(97136,106614)","(125474,112459)"
,False,28.284,4.855,7,"(63372,63341)","(68933,63397)","(66239,63552)","(128869,116019)","(40015,116889)","(126547,122380)"
,False,28.284,4.855,7,"(63372,63341)","(68933,63397)","(66239,63552)","(128869,116019)","(40015,116889)","(126547,122380)"
,True,28.285,4.858,7,"(63373,63331)","(68931,63384)","(66239,63538)","(128389,101254)","(93967,101311)","(119058,107309)"
,True,28.283,4.866,8,"(63366,63343)","(68926,63398)","(66233,63550)","(110041,118727)","(70492,120280)","(102037,124109)"
,True,28.283,4.866,8,"(63366,63343)","(68926,63398)","(66233,63550)","(110041,118727)","(70492,120280)","(102037,124109)"
,True,28.284,4.889,4,"(63379,63325)","(68942,63381)","(66256,63510)","(111823,107564)","(80119,122202)","(74536,125358)"
,True,28.286,4.917,8,"(63364,63307)","(68929,63365)","(66236,63492)","(118861,111426)","(107712,114367)","(116561,123300)"
,True,28.284,4.945,5,"(63375,63330)","(68940,63387)","(66247,63517)","(107985,116119)","(128743,122688)","(102154,117094)"
,True,28.286,4.959,10,"(63375,63276)","(68942,63332)","(66252,63432)","(128711,95254)","(118707,106632)","(98053,109136)"
,True,28.286,4.959,10,"(63375,63276)","(68942,63332)","(66252,63432)","(128711,95254)","(118707,106632)","(98053,109136)"
,True,28.284,4.959,5,"(63390,63256)","(68958,63312)","(66268,63411)","(129862,103373)","(118681,123677)","(124109,125466)"
,True,28.284,4.959,5,"(63390,63256)","(68958,63312)","(66268,63411)","(129862,103373)","(118681,123677)","(124109,125466)"
,True,28.286,4.959,6,"(63376,63225)","(68942,63282)","(66248,63395)","(127415,103875)","(128388,114428)","(110670,123164)"
,True,28.284,4.959,6,"(63367,63241)","(68934,63296)","(66239,63421)","(97641,101845)","(98981,105496)","(85058,109628)"
,True,28.286,4.959,10,"(63383,63212)","(68948,63269)","(66259,63374)","(109529,107221)","(63471,109843)","(115811,109843)"
,True,28.284,4.959,5,"(63378,63207)","(68945,63264)","(66251,63377)","(99714,97360)","(95858,129264)","(125220,119233)"
,True,28.286,4.959,9,"(63402,63201)","(68967,63259)","(66279,63363)","(111576,98716)","(74568,99730)","(50607,104664)"
,True,28.284,4.959,6,"(63384,63201)","(68950,63259)","(66261,63362)","(110294,103142)","(123311,123809)","(80693,129718)"
,True,28.286,4.959,7,"(63374,63198)","(68940,63255)","(66251,63345)","(93880,102286)","(117985,103626)","(84441,109587)"
,True,28.285,4.959,6,"(63382,63198)","(68948,63258)","(66259,63357)","(127806,115314)","(67459,119904)","(109553,122210)"
,True,28.284,4.959,8,"(63392,63213)","(68958,63273)","(66272,63374)","(65286,97009)","(123940,102233)","(98723,111318)"
,True,28.286,4.959,6,"(63379,63211)","(68946,63271)","(66254,63376)","(88727,107357)","(111709,109418)","(108790,124067)"
