MarkersValid,TrolleyPos,Hoistpos,NoOfMarkers,m1,m2,m3,m4,m5,m6
True,17.748,21.87,3,"(69046,62409)","(69530,66339)","(68845,70131)","(68994,69769)","(69375,65737)","(68592,70008)"
True,17.748,21.87,3,"(69046,62409)","(69530,66339)","(68845,70131)","(68994,69769)","(69375,65737)","(68592,70008)"
True,18.23,21.473,3,"(69138,62381)","(69623,66267)","(68939,70021)","(68994,69769)","(69375,65737)","(68592,70008)"
True,18.788,21.087,3,"(68545,62377)","(69010,66222)","(68348,69936)","(68994,69769)","(69375,65737)","(68592,70008)"
True,18.788,21.087,3,"(68545,62377)","(69010,66222)","(68348,69936)","(68994,69769)","(69375,65737)","(68592,70008)"
True,19.321,20.71,3,"(67765,62364)","(68223,66170)","(67570,69845)","(68994,69769)","(69375,65737)","(68592,70008)"
True,19.832,20.333,3,"(66897,62364)","(67331,66128)","(66701,69766)","(68994,69769)","(69375,65737)","(68592,70008)"
True,19.832,20.333,3,"(66897,62364)","(67331,66128)","(66701,69766)","(68994,69769)","(69375,65737)","(68592,70008)"
True,19.832,20.333,3,"(66897,62364)","(67331,66128)","(66701,69766)","(68994,69769)","(69375,65737)","(68592,70008)"
True,20.298,19.975,3,"(66420,62372)","(66846,66103)","(66225,69701)","(68994,69769)","(69375,65737)","(68592,70008)"
True,20.67,19.62,3,"(66414,62342)","(66842,66037)","(66218,69608)","(68994,69769)","(69375,65737)","(68592,70008)"
True,20.67,19.62,3,"(66414,62342)","(66842,66037)","(66218,69608)","(68994,69769)","(69375,65737)","(68592,70008)"
True,20.67,19.62,3,"(66414,62342)","(66842,66037)","(66218,69608)","(68994,69769)","(69375,65737)","(68592,70008)"
True,21.041,19.258,3,"(66710,62346)","(67126,66006)","(66515,69543)","(68994,69769)","(69375,65737)","(68592,70008)"
True,21.359,18.939,3,"(67151,62290)","(67569,65915)","(66955,69427)","(68994,69769)","(69375,65737)","(68592,70008)"
True,21.359,18.939,3,"(67151,62290)","(67569,65915)","(66955,69427)","(68994,69769)","(69375,65737)","(68592,70008)"
True,21.702,18.636,3,"(67310,62294)","(67732,65893)","(67116,69374)","(68994,69769)","(69375,65737)","(68592,70008)"
True,22.098,18.326,3,"(66908,62234)","(67315,65803)","(66713,69262)","(68994,69769)","(69375,65737)","(68592,70008)"
True,22.098,18.326,3,"(66908,62234)","(67315,65803)","(66713,69262)","(68994,69769)","(69375,65737)","(68592,70008)"
True,22.548,18.04,3,"(66251,62228)","(66655,65771)","(66059,69203)","(68994,69769)","(69375,65737)","(68592,70008)"
True,22.966,17.73,3,"(65522,62172)","(65906,65686)","(65332,69092)","(68994,69769)","(69375,65737)","(68592,70008)"
True,22.966,17.73,3,"(65522,62172)","(65906,65686)","(65332,69092)","(68994,69769)","(69375,65737)","(68592,70008)"
True,23.358,17.431,3,"(65102,62160)","(65487,65650)","(64914,69030)","(68994,69769)","(69375,65737)","(68592,70008)"
True,23.704,17.18,3,"(64970,62156)","(65350,65621)","(64785,68979)","(68994,69769)","(69375,65737)","(68592,70008)"
True,23.704,17.18,3,"(64970,62156)","(65350,65621)","(64785,68979)","(68994,69769)","(69375,65737)","(68592,70008)"
